employee_id,years_experience,gender,education_level,job_title,location,work_mode,primary_language,performance_rating,projects_completed,team_size,overtime_hours_month,certifications_count,github_contributions,birth_month,bonus_percentage,stock_options,remote_work_days,satisfaction_score,salary_category
EMP_0001,11,male,PhD,Full Stack Developer,"Chicago, IL",On-site,C++,3.2,19,9,15,6,370,March,,Yes,2,3.7,Medium
EMP_0002,20,male,Bachelor,Frontend Developer,Remote,Hybrid,C++,4.1,30,13,7,8,523,March,13,Yes,3,3.1,Medium
EMP_0003,21,male,Bachelor,Engineering Manager,"Toronto, CA",Remote,Rust,3.9,32,10,1,9,555,September,10,No,3,4.9,High
EMP_0004,7,female,PhD,Data Scientist,"Los Angeles, CA",Remote,TypeScript,3.3,17,4,0,4,253,February,24,No,1,,Medium
EMP_0005,10,female,Bachelor,Engineering Manager,"London, UK",Remote,Python,3.6,15,3,0,4,255,November,15,Yes,5,2.8,High
EMP_0006,20,male,Bachelor,Software Engineer,"Seattle, WA",On-site,JavaScript,3.7,32,10,4,8,501,March,12,Yes,0,3,Medium
EMP_0007,8,male,Bachelor,QA Engineer,"Boston, MA",Hybrid,Swift,2.9,15,6,0,5,274,November,10,No,1,4.3,Low
EMP_0008,14,female,Bachelor,Software Engineer,"Denver, CO",Remote,C++,3.6,24,15,2,5,637,March,9,Yes,4,4.9,Low
EMP_0009,21,male,High School,Security Engineer,"Toronto, CA",On-site,Java,3.2,28,9,12,8,558,August,16,Yes,0,3.9,Medium
EMP_0010,10,female,Bachelor,Data Scientist,"Toronto, CA",Hybrid,Swift,4.1,14,1,2,4,312,September,8,Yes,5,3.9,Medium
EMP_0011,17,female,Bachelor,DevOps Engineer,"Austin, TX",Hybrid,Rust,2.9,25,15,2,8,510,August,11,Yes,2,1.2,Medium
EMP_0012,16,male,High School,Tech Lead,"Austin, TX",Remote,JavaScript,2.9,25,7,23,7,573,October,5,No,2,3.6,High
EMP_0013,11,male,Bachelor,Data Analyst,"Chicago, IL",Remote,Go,2.3,22,4,1,5,277,September,23,No,2,4.9,Low
EMP_0014,9,female,Bachelor,Frontend Developer,"New York, NY",On-site,Go,2.9,14,2,1,9,233,December,18,Yes,2,,Low
EMP_0015,30,male,Bachelor,DevOps Engineer,"Austin, TX",Hybrid,Swift,3.2,37,9,22,10,942,March,18,No,4,4.7,High
EMP_0016,7,male,Master,Data Scientist,"New York, NY",Hybrid,TypeScript,3.4,16,13,4,3,178,November,20,Yes,4,1.9,Medium
EMP_0017,4,female,PhD,Software Engineer,"Austin, TX",On-site,JavaScript,2.9,11,1,9,1,217,August,18,Yes,3,3.2,Low
EMP_0018,8,male,Bachelor,Tech Lead,Remote,On-site,JavaScript,2.6,16,6,21,4,202,April,18,Yes,5,2.4,Medium
EMP_0019,9,male,Master,Product Manager,"Toronto, CA",On-site,JavaScript,3.6,19,11,4,3,386,March,8,Yes,1,3.4,Medium
EMP_0020,13,female,Master,Backend Developer,"Atlanta, GA",On-site,Go,2.7,25,7,2,7,436,November,24,Yes,3,1.7,Medium
EMP_0021,14,male,High School,DevOps Engineer,"Atlanta, GA",Hybrid,Java,3.1,24,3,0,6,368,December,8,Yes,4,3.5,Medium
EMP_0022,23,female,Master,Tech Lead,"London, UK",Remote,Rust,3.7,33,6,1,10,587,January,23,Yes,5,1.4,High
EMP_0023,11,female,PhD,UI/UX Designer,"New York, NY",Remote,Rust,3.1,19,15,3,6,620,November,20,No,4,4.8,Medium
EMP_0024,9,female,Master,Cloud Architect,"Seattle, WA",On-site,Swift,4,22,8,2,5,229,January,6,Yes,4,1.3,Medium
EMP_0025,12,female,PhD,QA Engineer,Remote,Hybrid,Python,2.2,20,4,12,5,307,May,9,No,4,2.9,Low
EMP_0026,17,male,Master,Cloud Architect,"Boston, MA",On-site,Rust,3.4,27,15,0,7,428,July,,No,4,3.7,High
EMP_0027,12,male,Bachelor,QA Engineer,"San Francisco, CA",Remote,Swift,2.4,24,7,5,6,499,March,23,No,1,4.4,Medium
EMP_0028,9,female,Bachelor,Data Scientist,"Austin, TX",Hybrid,Go,2.4,22,12,5,6,237,March,11,Yes,0,2.6,Low
EMP_0029,8,male,PhD,Product Manager,"London, UK",Remote,Go,3.2,18,10,0,5,279,March,23,Yes,4,1.1,Medium
EMP_0030,24,male,Master,Data Analyst,"Austin, TX",On-site,Python,4.1,29,14,7,9,927,November,14,No,1,4.7,Medium
EMP_0031,4,male,Master,UI/UX Designer,"Chicago, IL",Remote,Java,2.8,16,12,16,4,157,May,9,Yes,4,2,Low
EMP_0032,14,male,Bachelor,UI/UX Designer,"Seattle, WA",On-site,Rust,3.7,25,12,8,6,362,April,7,Yes,2,3.4,Medium
EMP_0033,1,female,PhD,Engineering Manager,"San Francisco, CA",On-site,Java,2.6,11,1,0,1,174,July,,No,4,1.2,High
